history:SM/PM-MDB-7_Energy

Timestamp,Trend Flags,Status,Value (kW-hr)
16-Dec-25 6:00:00 PM ICT,{start},{ok},178822.00
16-Dec-25 6:15:00 PM ICT,{ },{ok},178851.00
16-Dec-25 6:30:00 PM ICT,{ },{ok},178879.00
16-Dec-25 6:45:00 PM ICT,{ },{ok},178908.00
16-Dec-25 7:00:00 PM ICT,{ },{ok},178937.00
16-Dec-25 7:15:00 PM ICT,{ },{ok},178968.00
16-Dec-25 7:30:00 PM ICT,{ },{ok},179006.00
16-Dec-25 7:45:00 PM ICT,{ },{ok},179043.00
16-Dec-25 8:00:01 PM ICT,{ },{ok},179080.00
16-Dec-25 8:15:00 PM ICT,{ },{ok},179117.00
16-Dec-25 8:30:00 PM ICT,{ },{ok},179151.00
16-Dec-25 8:45:00 PM ICT,{ },{ok},179185.00
16-Dec-25 9:00:00 PM ICT,{ },{ok},179218.00
16-Dec-25 9:15:00 PM ICT,{ },{ok},179254.00
16-Dec-25 9:30:00 PM ICT,{ },{ok},179290.00
16-Dec-25 9:45:00 PM ICT,{ },{ok},179325.00
16-Dec-25 10:00:00 PM ICT,{ },{ok},179359.00
16-Dec-25 10:15:00 PM ICT,{ },{ok},179396.00
16-Dec-25 10:30:00 PM ICT,{ },{ok},179431.00
16-Dec-25 10:45:00 PM ICT,{ },{ok},179466.00
16-Dec-25 11:00:00 PM ICT,{ },{ok},179502.00
16-Dec-25 11:15:00 PM ICT,{ },{ok},179539.00
16-Dec-25 11:30:00 PM ICT,{ },{ok},179579.00
16-Dec-25 11:45:00 PM ICT,{ },{ok},179614.00
17-Dec-25 12:00:00 AM ICT,{ },{ok},179650.00
17-Dec-25 12:15:00 AM ICT,{ },{ok},179686.00
17-Dec-25 12:30:00 AM ICT,{ },{ok},179720.00
17-Dec-25 12:45:00 AM ICT,{ },{ok},179753.00
17-Dec-25 1:00:00 AM ICT,{ },{ok},179790.00
17-Dec-25 1:15:00 AM ICT,{ },{ok},179826.00
17-Dec-25 1:30:00 AM ICT,{ },{ok},179861.00
17-Dec-25 1:45:00 AM ICT,{ },{ok},179898.00
17-Dec-25 2:00:00 AM ICT,{ },{ok},179933.00
17-Dec-25 2:15:00 AM ICT,{ },{ok},179968.00
17-Dec-25 2:30:00 AM ICT,{ },{ok},180002.00
17-Dec-25 2:45:00 AM ICT,{ },{ok},180035.00
17-Dec-25 3:00:00 AM ICT,{ },{ok},180069.00
17-Dec-25 3:15:00 AM ICT,{ },{ok},180105.00
17-Dec-25 3:30:00 AM ICT,{ },{ok},180142.00
17-Dec-25 3:45:00 AM ICT,{ },{ok},180177.00
17-Dec-25 4:00:00 AM ICT,{ },{ok},180211.00
17-Dec-25 4:15:00 AM ICT,{ },{ok},180244.00
17-Dec-25 4:30:00 AM ICT,{ },{ok},180278.00
17-Dec-25 4:45:00 AM ICT,{ },{ok},180312.00
17-Dec-25 5:00:00 AM ICT,{ },{ok},180346.00
17-Dec-25 5:15:00 AM ICT,{ },{ok},180381.00
17-Dec-25 5:30:00 AM ICT,{ },{ok},180417.00
17-Dec-25 5:45:00 AM ICT,{ },{ok},180452.00
17-Dec-25 6:00:00 AM ICT,{ },{ok},180487.00
17-Dec-25 6:15:00 AM ICT,{ },{ok},180522.00
17-Dec-25 6:30:00 AM ICT,{ },{ok},180556.00
17-Dec-25 6:45:00 AM ICT,{ },{ok},180590.00
17-Dec-25 7:00:00 AM ICT,{ },{ok},180624.00
17-Dec-25 7:15:00 AM ICT,{ },{ok},180658.00
17-Dec-25 7:30:00 AM ICT,{ },{ok},180692.00
17-Dec-25 7:45:00 AM ICT,{ },{ok},180727.00
17-Dec-25 8:00:00 AM ICT,{ },{ok},180763.00
17-Dec-25 8:15:00 AM ICT,{ },{ok},180797.00
17-Dec-25 8:30:00 AM ICT,{ },{ok},180830.00
17-Dec-25 8:45:00 AM ICT,{ },{ok},180858.00
17-Dec-25 9:00:00 AM ICT,{ },{ok},180886.00
17-Dec-25 9:15:00 AM ICT,{ },{ok},180916.00
17-Dec-25 9:30:00 AM ICT,{ },{ok},180944.00
17-Dec-25 9:45:00 AM ICT,{ },{ok},180970.00
17-Dec-25 10:00:00 AM ICT,{ },{ok},180996.00
17-Dec-25 10:15:00 AM ICT,{ },{ok},181025.00
17-Dec-25 10:30:00 AM ICT,{ },{ok},181055.00
17-Dec-25 10:45:00 AM ICT,{ },{ok},181080.00
17-Dec-25 11:00:00 AM ICT,{ },{ok},181104.00
17-Dec-25 11:15:00 AM ICT,{ },{ok},181130.00
17-Dec-25 11:30:00 AM ICT,{ },{ok},181157.00
17-Dec-25 11:45:00 AM ICT,{ },{ok},181181.00
17-Dec-25 12:00:00 PM ICT,{ },{ok},181205.00
17-Dec-25 12:15:00 PM ICT,{ },{ok},181230.00
17-Dec-25 12:30:00 PM ICT,{ },{ok},181252.00
17-Dec-25 12:45:00 PM ICT,{ },{ok},181272.00
17-Dec-25 1:00:00 PM ICT,{ },{ok},181293.00
17-Dec-25 1:15:00 PM ICT,{ },{ok},181314.00
17-Dec-25 1:30:00 PM ICT,{ },{ok},181336.00
17-Dec-25 1:45:00 PM ICT,{ },{ok},181357.00
17-Dec-25 2:00:00 PM ICT,{ },{ok},181377.00
17-Dec-25 2:15:00 PM ICT,{ },{ok},181397.00
17-Dec-25 2:30:00 PM ICT,{ },{ok},181417.00
17-Dec-25 2:45:00 PM ICT,{ },{ok},181438.00
17-Dec-25 3:00:00 PM ICT,{ },{ok},181461.00
17-Dec-25 3:15:00 PM ICT,{ },{ok},181483.00
17-Dec-25 3:30:00 PM ICT,{ },{ok},181503.00
17-Dec-25 3:45:00 PM ICT,{ },{ok},181523.00
17-Dec-25 4:00:00 PM ICT,{ },{ok},181542.00
17-Dec-25 4:15:00 PM ICT,{ },{ok},181563.00
