 ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
"SATS Food Solutions (Thailand) Co., Ltd.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MYCOM Compressor 02,,,,,,,,,,,,,,,,,,,,,,,,,
Compressor report,,,,,,,,,,,,,,,,,,,,,,,,,
,Datetime: 2025-11-27   SamplingRate:  60 Minute ,,,,,,,,,,,,,,,,,,,,,,,,
1899-12-29 00:00:00,1,,,,,,,,,,,,,,COMP01,,,,,,,,,,
,SUCTION,,DISCHARGE,,INTERMEDIATE,,OIL,,DIFFERENTIAL,,,SUPERHEAT,,,COMPRESSOR,,,,,REMARK,,,,,
TIME,SP.,ST.,DP.,DT.,IP.,IT.,OP.,OT.,FP.,OP.,P.,SSH,DSH,ISH,LSV,HSV,CURRENT,FRQ,RUNTIME,,,,,,
(hh:mm:ss),kg/cm²,oC,kg/cm²,oC,kg/cm²,oC,kg/cm²,oC,kg/cm²,kg/cm²,kg/cm²,K,K,K,%,%,Amp.,Hz,Hr.,,,,Time,Use kWh,
00:00:00,0.52,23,7.7,28.6,7.7,20.6,7.7,26.4,0.1,0,-0.1,47.9,8.6,0.6,0.1,0,0,0,57,,,,00:00,,
01:00:00,0.63,22.7,7.5,27.7,7.6,20.8,7.6,25.9,0,0.1,-0.1,46.2,8.4,1.4,0.1,0,0,0,57,2,,,01:00,0,
02:00:00,0.73,22.5,7.4,27,7.4,20.8,7.4,25.3,0.1,0,-0.1,44.6,8.1,1.9,0.1,0,0,0,57,RUNTIME TODAY (Hr),,,02:00,0,
03:00:00,0.84,22.2,7.3,26.5,7.3,20.9,7.3,25,0.1,0,-0.1,42.9,7.9,2.3,0.1,0,0,0,57,,,,03:00,0,-0.04
04:00:00,0.95,22,7.3,25.9,7.3,20.9,7.3,24.6,0.1,0,-0.1,41.5,7.6,2.5,0.1,0,0,0,57,,,,04:00,0,-0.04
05:00:00,1.05,21.8,7.2,25.5,7.2,20.9,7.2,24.3,0.1,0,-0.1,40.2,7.5,2.8,0.1,0,0,0,57,,,,05:00,0,-0.04
06:00:00,1.15,21.6,7.1,25.1,7.1,20.8,7.2,24,0.1,0.1,-0.1,38.9,7.3,3,0.1,0,0,0,57,,,,06:00,0,-0.03
07:00:00,1.26,21.4,7.1,24.7,7.1,20.6,7.1,23.7,0.1,0,-0.1,37.6,7,2.8,0.1,0,0,0,57,,,,07:00,0,-0.04
08:00:00,1.35,21.3,7.1,24.7,7.1,20.8,7.2,24.1,0,0.1,0,36.6,6.9,2.9,0.1,0,0,0,57,,,,08:00,0,0.0
09:00:00,1.49,21.3,7.2,25.2,7.3,21.5,7.3,25.5,0,0.1,-0.1,35.2,6.9,3.1,0.1,0,0,0,57,,,,09:00,0,-0.03
10:00:00,1.63,21.6,7.4,26,7.4,22.4,7.4,26.8,0.1,0,-0.1,34.2,7.2,3.5,0.1,0,0,0,57,,,,10:00,0,-0.03
11:00:00,1.75,21.8,7.4,26.9,7.4,23.2,7.4,28.1,0,0,0,33.4,8,4.2,0.1,0,0,0,57,,,,11:00,0,0.0
12:00:00,1.87,22.1,7.6,27.8,7.6,24.1,7.6,29.2,0.1,0,-0.1,32.7,8.3,4.5,0.1,0,0,0,57,,,,12:00,0,-0.02
13:00:00,1.97,22.5,7.8,28.5,7.8,24.8,7.8,29.9,0.1,0,-0.1,32.2,8.3,4.6,0.1,0,0,0,57,,,,13:00,0,-0.02
14:00:00,2.1,23,7.9,29.1,7.9,25.5,8,30.4,0,0.1,0,31.7,8.3,4.7,0.1,0,0,0,57,,,,14:00,0,0.0
15:00:00,0.46,-10.4,11.4,82.9,2.7,12.7,13.9,50.3,0.3,2.5,8.4,15.3,51.5,17.1,80.3,99.7,293,60,58,,,,15:00,1,0.49
16:00:00,-0.49,-26.2,9.1,55.8,0.2,-27.5,11.7,38,0.3,2.6,8.6,19.3,31.1,2.2,72.2,99.7,147,40,59,,,,16:00,1,3.91
17:00:00,-0.25,-5.8,8,49.7,8,-15.8,8,38.1,0.1,0,-0.1,33,28.6,0,0.1,0,0,0,59,,,,17:00,0,
18:00:00,-0.12,6.3,7.6,43,7.6,-5.1,7.6,33.6,0.1,0,-0.1,42,23.4,0,0.1,0,0,0,59,,,,18:00,0,
19:00:00,-0.01,10.9,7.5,39.2,7.5,1.2,7.5,30.9,0.1,0,-0.1,44.4,20.1,0,0.1,0,0,0,59,,,,19:00,0,
20:00:00,0.1,13.2,7.5,36.3,7.4,7.4,7.4,29.1,0.1,-0.1,0,44.7,17.2,0,0.1,0,0,0,59,,,,20:00,0,
21:00:00,0.19,14.5,7.5,33.8,7.5,10.6,7.5,27.7,0.1,0,-0.1,44.4,14.7,0,0,0,0,0,59,,,,21:00,0,
22:00:00,0.3,15.1,7.4,31.8,7.5,12.6,7.5,26.7,0,0.1,-0.1,43.3,12.8,0,0.1,0,0,0,59,,,,22:00,0,
23:00:00,0.39,15.6,7.3,30.1,7.3,13.8,7.3,25.9,0.1,0,-0.1,42.4,11.5,0,0.1,0,0,0,59,,,,23:00,0,
